,Unnamed: 0,itemId,userId,rating,class,comment,label,check_label
2,2,1,3,2.5,2.0,"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",1.0,False
9,9,1,10,3.0,3.0,"It's beyond my expectation, and it can even show music score. Not fast turning though.",1.0,False
22,22,3,23,3.0,3.0,A lazy mans drean when it is combined with Alexa. If you get the harmony hub you can really impress with home automation,2.0,False
65,65,7,66,2.5,3.0,"UI is not smooth, it flickers sometimes. Overall a thumbs up from me",1.0,False
70,70,9,71,3.0,3.0,"My 3 and 2 year old download their own games.Easy to set up and get working. Thanks to parental Control, I know what they are downloading",2.0,False
116,116,12,117,1.5,1.0,Not too satisfied with the sound and it loses Bluetooth connection no matter what phone I use (either Iphone or Android).,2.0,False
118,118,12,119,3.0,3.0,I love it it does everything I want can't believe how great it is,1.0,False
120,120,12,121,2.0,2.0,"Alexa works great, but the the sound quality of this speaker is terrible, your much better off with a echo dot and bose sound link mini set up.",3.0,False
126,126,13,127,3.0,3.0,"Bought an IPad and didn't like it. Returned it and got the Fire 10.1. This is my third Fire, love it....no.learning curve.",2.0,False
132,132,13,133,3.0,3.0,"This tablet is certainly large which makes it cumbersome when reading in a reclining position. However, its terrific for reading or watching films on a plane, desk or otherwise sitting up.",2.0,False
141,141,14,142,1.0,1.0,This is not an upgrade by any means! My three year old kindle outperformed Oasis.Battery life better than a week with the lights on lowest setting Magnetic connector is poorly designed and grows weak Two pieces to keep up with,2.0,False
147,147,15,148,3.0,3.0,"so far so good,,,, wife very happy. misses her old one....",2.0,False
157,157,16,158,2.5,3.0,"This was bought to replace my old Kindle with keypad, and experimental internet. Was surprised how much the Kindle had changed, and at the same price as my old one was when I bought it!Have already shown it to a couple of friends who now say they are thinking about getting one.",2.0,False
158,158,16,159,3.0,3.0,outstanding replacement tablet for my outdated and overpriced iPad 2,2.0,False
162,162,16,163,1.0,1.0,"This Kindle is so overloaded with apps that I will never use. Despite what one of Best Buys' associates said, you cannot remove any of the Amazon apps. The apps take up too much of the memory. I have an I Pad and love but bought this as a backup for work. Unfortunately, it bogs down. I also don't like that Amazon wants access to too much info to set up email, so I won't use this for emails either. I will likely sell it on Craig's List for less than half of what I paid for it.",3.0,False
179,179,18,178,3.0,3.0,i needed something to read in the sunlight other than fire hd,1.0,False
184,184,18,183,2.5,2.0,"I purchase this for my wife; it work well but I think that this version es too expensive, the difference is a light",3.0,False
201,201,19,199,3.0,3.0,this is my second one and must have one of these at all times,2.0,False
220,220,21,211,2.0,1.0,meh. it works. i find it difficult to navigate. i also have an ipad mini. this seems to be less intuitive than the ipad.,3.0,False
224,224,22,214,3.0,2.0,Only negative is the apps. Thought they were from android but they're an Amazon version and limited.,1.0,False
247,247,23,232,3.0,3.0,For those that have Prime this is almost a must have. Keeps all your Amazon stuff in one place.,2.0,False
