,itemId,itemname,bef_subtotal_review,subtotal_review
0,1,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",53,53
1,2,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",561,556
2,3,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,225,225
3,4,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",106,96
4,5,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",51,45
5,6,"Amazon - Kindle Voyage - 6"" - 4GB - Black",82,82
6,7,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",217,217
7,8,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",371,371
8,9,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",467,418
9,10,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",24,24
10,11,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,4,4
11,12,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,22,22
12,13,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",40,40
13,14,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",845,751
14,15,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",70,67
15,16,Amazon - Echo Plus w/ Built-In Hub - Silver,590,590
16,17,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",58,58
17,18,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",39,32
18,19,"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",101,101
19,20,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",797,796
20,21,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",96,96
21,22,Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,22,21
22,23,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",159,140
