,Unnamed: 0,rating,human,testimony,itemId,userId,testimony_value,check_label
7,4999,2,3,"this is a steal, have 8 gb model as well.This has more punch..",19,764,1,False
14,4719,2,2,I bought this as an affordable alternative to the iPad mini. I liked the expandable storage option and size. Super easy to use. Unfortunately granddaughter wanted and iPad mini to go with her other apple products. So I ended up returning it. In hindsight I should've kept it for myself.,1,3582,3,False
36,4820,2,2,"Not to big, not to small. Just right for for taking your movies and music on the go. I bought this to go with my Amazon Prime membership. Popped in a 128 Gb mini sd card for plenty of storage.",17,3445,3,False
38,2965,1,3,Great tablet other than the photo image quality is fuzzy and not the best.,5,2040,1,False
46,2731,2,2,It was all that my grandson wanted and didn't have to search everywhere to find it.,8,1043,3,False
56,1927,1.5,2,"I was completely under the impression that this tablet was child friendly but there are no built in restrictions so my son was able to purchase numerous apps and movies. My son usually uses my wife's ipad so I thought this tablet would be a good replacement but the interface is geared towards adults not a young child. If you buy this tablet, IMMEDIATELY change the settings to require a PIN to make purchases.I think the age recommendation should be 5+ not 3+.",2,2935,3,False
57,1692,1.5,2,You get what you pay for Was not to happy but for a 2 year old it's ok,7,3352,1,False
58,4088,1,3,I purchased this when my last tablet died. It meets all basic needs and the price was great.,20,715,2,False
60,3674,1,2,"was cheap, can not run chrome stuff, returned to store.",20,1272,3,False
63,3984,1,1,"I got this for reading books, I still like ipad better though.",20,3481,3,False
67,4204,2,3,"No complaints. I just wish it played .avi, but that is not really a huge problem",20,3614,2,False
79,3266,2,3,upgraded from a previous model and cannot be happier,4,2540,2,False
84,4709,1,3,"Bought this for my wife. She is a constant reader and put away her previous Kindles for this one. She now has internet access also, so she can find more books anytime she wants.",1,970,2,False
91,4726,1,3,Got this tablet for my spouse who has never had one before and it's perfect for him!,1,3245,1,False
93,2051,1,3,The color is what got me and the features was on point. The screen shows a lot of different displays. To share for now until the next one.,2,1190,2,False
98,2698,1,1,It takes a little getting used to if you are used to Android,2,1387,2,False
99,2789,2,3,Child loves it. Can be used for more than just a time killer. Can learn from it.,2,2532,2,False
102,1889,2,3,The tablet is okay.. my daughter uses it most of the time.,2,1999,2,False
107,2437,1,1,Worst product ever. Constantly screwing up and filled with ads you have to pay to remove. Best Buy refused to help when I wanted to return it,8,145,2,False
122,1688,1,1,"I like the tablet; however, there are occasions when it does not boot up when it is turned on. I probably need to take it into the store so that a determination can be made and it can be fixed.",8,2076,3,False
