,rating,testimony,itemId,userId
3979,1.0,I have really enjoyed it so far. While not perfect by any means it is certainly worth the price.,20,3585
2963,1.0,I purchased this tablet for my 3 year old and he loves it! Very easy to use and setup.,7,1256
3899,2.0,I love my tablet. It is super easy and loads fast.,20,1506
2326,1.5,Battery dies after an hour...should last longer for the money. Will not bold charge.,7,188
2385,2.0,"It is great if you are a prime member , case is durable!",2,3023
2242,2.0,Since I purchased mine the wife thought she would also like one so we picked up her one and she is using it a lot.,8,618
2931,2.0,"My son is constantly distracted and loves technology. Him being only two years old, this proved to be the perfect thing to keep him occupied and out of trouble.",2,2397
1817,2.0,This was a gift for my kids. They love them. Easy to use and lots of great apps!,2,1068
3211,2.0,I was initially going to just get the Amazon Kindle but I thought this gives me a tablet and a easy way to read books. I buy e-college texts. It has helped me so much!! I'm so happy I invested my money in this.,4,1553
2309,1.0,"Good product, great price. Big improvement over my first tablet.",8,862
2898,1.0,I purchased this tablet for my grandmother to use. She loves it. It is easy to navigate for her. The only thing that annoys her is when the apps need to be updated. She does not have internet at home so she has to wait to update her apps when she visits family (who has internet service).,8,1872
3669,2.0,We love this so much in our home. We bought a super tough case and let our two and six year old use it. They love watching their movies on it and playing different apps. It is a really good value!,20,3518
4187,1.5,"The specs are good, feels solid, can't stand the OS. Too many ads you can't get rid of, not as customizable as I'd like. If that doesn't bother you, it's a good tablet for the price. Don't expect to run games on it, not powerful enough for that.",20,2677
3238,2.0,"As I age, it's difficult for me to see the smaller screens so when this one came out .... I was delighted!!! Love playing my games!!!",4,3643
2403,2.0,Great price - great shipping - great item! Perfect Christmas gift for our granddaughter!,2,710
3947,1.0,Great tablet - lag free when running apps... Good battery life. Only downside is lack of ability to screen mirror. Was available on older versions but no longer,20,1484
2799,1.0,This was the first tablet we purchased for our kids and love it.,2,2130
2830,2.0,Love the apps. His old fire stood up to significant wear/tear and drops. So I'm expecting the same with this one. 2 year warranty gives piece of mind.,2,3111
2660,2.0,We replaced and aging fire HDX. She noticed the WiFi connection is improved and the screen is larger. She prefers this to my iPad Air,15,1368
2919,2.0,Easy to set up and durable grandpa dropped it and no issues,7,3653
1893,1.0,"My kids love this product, as do I. Parental restrictions can be set and they know when they have to shut them off. Good battery life too.",2,1821
2492,1.0,Best thing I got my kids. They don't ask to borrow mine anymore.,2,2214
