,rating,comment,itemId,userId,label,check_label
4748,3.0,This is my second kindle. Have a few more items to learn. But love it. Easy to get around the apps.,9,2484,2.0,False
1145,3.0,Alexa is awesome to have at home makes things fun and easy,16,2738,3.0,True
4185,3.0,This has been a great purchase. It fits all my tablet and e-reader needs.,5,2670,3.0,True
4460,3.0,My daughter loves her tablet because she can carry it to all places,5,1024,3.0,True
1175,3.0,The device is extremely useful for all those who choose to have a smart/connected home. The built-in hub helps you to connect your devices easier than not having it. I would recommend this device especially if you have a prime membership.,16,637,3.0,True
3790,2.5,"At the price it is almost an impulse buy. I wanted a tablet for an upcoming trip to watch some movies, read, etc and this was at a price point that made the decision really easy. If you are used to an iPad, the Fire HD is a little disappointing but it costs considerably less. It fit my needs but I felt some slugginess and several instances of needing to reboot to get certain apps to work correct. If you go in with the understanding this isn't an iPad replacement this should fit the bills for you. Let's just say, after my trip I purchased an iPad Pro and this item will likely be handed off to one of my children. If you have Amazon Prime, you do get some nice perks that make this a really nice item.",6,581,3.0,False
2757,3.0,"I looked at multiple other brands, some cheaper by 20-40 bucks. This is the only one that guarantees your kid cant break it for 2 years!!!! Drinks have spilled on it, its been dropped, thrown sat on and not a thing wrong with it.",19,2838,3.0,True
367,3.0,It's nice to see my calendar and the sound is good too.,4,3334,3.0,True
2990,3.0,"I absolutely LOVE my Amazon TAP. It in my opinion is the best blue-tooth speaker around and with the added skills when on wifi, the TAP is better than the Echo! Portable - YES! Sound Quality - OFF THE CHARTS! I blue-tooth this to my computer and listen to movies with GREAT Dolby sound quality. The battery life has been tested during a camping trip. 8 hours and it kept the charge! It's also easy to recharge it without the stand. Very Cool. BEST BUY's PRICE made it ALL THE BEST BUY OF THE CHRISTMAS SEASON! I picked up the item same day at a local Best Buy. The Experience was 1 - 2 - DONE. Very convenient, very helpful. I would recommend this to ALL my friends!!!",17,1545,3.0,True
1873,2.5,Good features and quality. Would be nice if it worked better in low light. Should have stepped up for the backlit one. This is nice if your conditions are bright.,20,1183,3.0,False
1334,3.0,Love asking Alexis all kinds of questions and listening to great Amazon Music!!!!,16,2143,3.0,True
1666,3.0,Fits nicely in your hand and its touchable. increase the size of the fonts,20,559,3.0,True
3013,2.0,It works about 50% of the time when asking it a question.,17,254,3.0,False
4000,3.0,"First of all, this is not an iPad or a more expensive android tablet, but it's a very good tablet for the money. I own an iPad Pro and iPad Air 2, yet this tablet has a place in my home. If you're buying for kids, I wouldn't buy anything more expensive than this. Good screen, fast enough, and amazon's underground free apps are a huge plus.",6,1319,3.0,True
702,3.0,The echo show is a great accessory to any house . It has a great picture on it and great sound . It’s simple to use . My wife uses it for recipes when cooking and making grocery lists . Also listens to music with crisp sound. Can ask Alexa pretty much anything .,4,2906,3.0,True
2960,3.0,Plays all my iPod music via Bluetooth. Also plays radio stations you can't get on a regular radio. Very practical and fun.,17,2219,3.0,True
2411,1.5,it would not load my books proper. took a dozen tries erasing an dreregistering. screen too dark,20,3277,1.0,False
3461,3.0,Love the 8 inch HD tablet. Great colors on screen. Not cheaply built like some.,6,2205,3.0,True
4452,3.0,"This is the forth kindle we have bought for grandchildren. With a spongy protective case, they take them everywhere.",5,2121,3.0,True
4128,3.0,"I was surprised on how easy it was to use. I bought it for my mother and she totally loves it, and I do too!",6,2899,3.0,True
202,3.0,This is an awesome product. This is the first Echo product I owned and I purchased 2 to get $100 off. I was going to split with a friend but like this so much that I decided to keep both. I've being singing along with the stream song with lyrics while doing work in the kitchen and house and watching youtube videos. The videos on Youtube takes a more effort to find the ones I want but I think this will improve over time.,4,2131,3.0,True
3631,3.0,We love this so much in our home. We bought a super tough case and let our two and six year old use it. They love watching their movies on it and playing different apps. It is a really good value!,6,3349,3.0,True
2735,3.0,This has been awesome. For my. 5 year old nephew. Keeps him entertained and it works great.,14,3445,3.0,True
4716,3.0,Only negative is the apps. Thought they were from android but they're an Amazon version and limited.,15,1567,1.0,False
2362,2.5,I have two kids and they both love it. Its also nice because it is already setup for them.,19,373,3.0,False
4831,3.0,I love the touch screen aspect still love the original.,1,3652,3.0,True
4607,3.0,The Kindle and cover were a gift for my wife. Her previous one went to the big tech heaven in the sky. She loves both products and couldn't be happier with the products.,21,65,3.0,True
3666,3.0,i bought this on a whim because my brother recommended i try it sometimes. hard to believe how important this is in my life. this has opened up my long forgotten youth with music and videos anytime,6,1624,3.0,True
2187,3.0,"So my 18 month old maybe the future computer wizard because she everything about my tablet. However my biggest concern is not so much that she knows how to unlock my Ipad, but throwing it down the stairs like one of her toys. Which makes the Kindle Fire tablet for kids the best invention since the Tivo. All the pre loaded apps, videos, books, etc is nothing short of amazing. The case is also very cool, hardwood floor and stair case proof. For under $100 bucks this is perfect for tech savvy kids like mine.",19,1773,3.0,True
2924,3.0,I purchased these tablets for my grandchildren after purchasing 1 for another grandchild in October. They love them and their parents love being able to dictate how they use them.,19,1308,3.0,True
4405,3.0,"Great tablet, not for the power user. Average users will find everything they need.",5,587,3.0,True
1428,2.5,"If you want to control your light, tv..ect with just your voice Alexa can do that and much more",16,727,3.0,False
228,3.0,I love that you and now see your answer on a screen with the Alexa Echo Show!!!,4,2808,3.0,True
814,3.0,It is a great product. It works great would definitely recommend it to anyone wanting to buy one.,4,3723,3.0,True
