,reviewId,rating,testimony,itemId,userId
0,0,3,I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,19,2976
1,1,5,This kindle is light and easy to use especially at the beach!!!,19,3339
2,2,4,"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",19,1472
3,3,5,"I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.",19,603
4,4,5,Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.,19,332
5,5,5,This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,19,753
6,6,5,"I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.",19,2421
7,7,4,I bought my Kindle about 2 months ago and the battery is already dead and will not charge,19,3388
8,8,5,"amazon kindle is always the best ebook, upgrade every new model",19,3286
9,9,5,"It's beyond my expectation, and it can even show music score. Not fast turning though.",19,2849
10,10,5,If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.,19,643
11,11,5,"Love my kindle, makes reading at night so easy and it feels like you are reading a real book.",19,2978
12,12,5,Good product for child. Who only need to read the books,19,370
13,13,5,This Kindle is a convenient size yet lettering is easy to read.,19,688
14,14,5,"I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers.",19,3421
15,15,3,It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright,19,2413
16,16,5,Great product for myself! And I bought it when there was great deal on it!,19,2607
