,reviewId,rating,hum_testimony,testimony,itemId,userId
0,3979,4,pos,I have really enjoyed it so far. While not perfect by any means it is certainly worth the price.,5,3585
1,2963,4,pos,I purchased this tablet for my 3 year old and he loves it! Very easy to use and setup.,7,1256
2,3899,5,pos,I love my tablet. It is super easy and loads fast.,5,1506
3,2326,3,neg,Battery dies after an hour...should last longer for the money. Will not bold charge.,7,188
4,2385,5,pos,"It is great if you are a prime member , case is durable!",16,3023
5,2242,5,pos,Since I purchased mine the wife thought she would also like one so we picked up her one and she is using it a lot.,4,618
6,2931,5,pos,"My son is constantly distracted and loves technology. Him being only two years old, this proved to be the perfect thing to keep him occupied and out of trouble.",16,2397
7,1817,5,pos,This was a gift for my kids. They love them. Easy to use and lots of great apps!,16,1068
8,3211,5,pos,I was initially going to just get the Amazon Kindle but I thought this gives me a tablet and a easy way to read books. I buy e-college texts. It has helped me so much!! I'm so happy I invested my money in this.,8,1553
9,2309,4,pos,"Good product, great price. Big improvement over my first tablet.",4,862
10,2898,4,pos,I purchased this tablet for my grandmother to use. She loves it. It is easy to navigate for her. The only thing that annoys her is when the apps need to be updated. She does not have internet at home so she has to wait to update her apps when she visits family (who has internet service).,4,1872
11,3669,5,pos,We love this so much in our home. We bought a super tough case and let our two and six year old use it. They love watching their movies on it and playing different apps. It is a really good value!,5,3518
12,4187,3,neu,"The specs are good, feels solid, can't stand the OS. Too many ads you can't get rid of, not as customizable as I'd like. If that doesn't bother you, it's a good tablet for the price. Don't expect to run games on it, not powerful enough for that.",5,2677
13,3238,5,neu,"As I age, it's difficult for me to see the smaller screens so when this one came out .... I was delighted!!! Love playing my games!!!",8,3643
14,2403,5,pos,Great price - great shipping - great item! Perfect Christmas gift for our granddaughter!,16,710
15,3947,4,pos,Great tablet - lag free when running apps... Good battery life. Only downside is lack of ability to screen mirror. Was available on older versions but no longer,5,1484
16,2799,4,pos,This was the first tablet we purchased for our kids and love it.,16,2130
17,2830,5,pos,Love the apps. His old fire stood up to significant wear/tear and drops. So I'm expecting the same with this one. 2 year warranty gives piece of mind.,16,3111
18,2660,5,pos,We replaced and aging fire HDX. She noticed the WiFi connection is improved and the screen is larger. She prefers this to my iPad Air,6,1368
19,2919,5,pos,Easy to set up and durable grandpa dropped it and no issues,7,3653
20,1893,4,pos,"My kids love this product, as do I. Parental restrictions can be set and they know when they have to shut them off. Good battery life too.",16,1821
21,2492,4,pos,Best thing I got my kids. They don't ask to borrow mine anymore.,16,2214
