,rating,testimony,itemId,userId
1557,1.0,Good product for a young child to play with without breaking,2,2419
1558,2.0,"My daughter (4) she loves it. Easy to navigate, hard to break.",2,3759
1559,1.0,Great device and easy setup.The ease of use for the kids are also great.,2,3813
1561,2.0,I bought two tablets for you little ones and they love them. I would recommend.,2,259
1562,1.5,You get what you pay for. Playtime works when it wants to. Went on a long trip and the videos we downloaded had issues playing most of the time. My son is almost 2. He gets bored of it quickly. The pros are the price and it is well protected externally.,2,1529
1563,2.0,This is the best tablet I've ever purchased. The screen is amazing and very functional and the kid mode is easy to get to and my 5 year old loves it makes me jealous and want to get a kindle but that's ok I can use parent most while he's sleeping. All over a really good tablet for both parent and child,2,1495
1564,2.0,Got this for my daughter 2nd birthday and she absolutely love it.,2,2878
1565,2.0,I've had kindles for years and this latest one is also right up at the top,8,3412
1566,2.0,Bought this for my six year old grandson. The set up was very easy. He is able to download kids only stuff and can send us videos of himself using the app. He just loves it. Truly kid friendly.,2,2226
1568,2.0,It has a great camera and I really enjoy my games and Facebook on this larger screen than my phone. I love not using my data up on my phone.,8,173
1569,2.0,"Got this for my 18 month old son so that he can watch movies on our trip to LA and he loved it. Lots of games, apps and much more. Still learning more features about this product and we love it too.",2,255
1572,2.0,My son is 3 and he loves it so easy to use. It's great.,2,1589
1573,1.0,My grandson really enjoyed this product. Good deal.,7,730
1574,1.0,"Would not take a charge, good thing i tried before wrapping it for Christmas.",7,1493
1575,2.0,"For the money I highly recommended it. It is great when linked to Netflix, Disney Movies, etc",8,3303
1576,2.0,"I got this for my daughter, she enjoy playing this",7,1026
1577,1.0,"Cumbersome, complicated and not kid friendly..... went with Apple, suggesting you do too.",2,2218
1579,2.0,My son love it. He watch his favorite cartoon shows and love to read books,7,1267
1581,2.0,I am using it for my 3 year old and she loves it..,8,2534
1582,2.0,Great for little kids who have a problem with breaking stuff.,7,3569
1583,2.0,This is great product. The tablet are made tough and great price.,2,387
1584,2.0,My son love it. He watch his favorite cartoon shows and love to read books,2,1267
1585,2.0,"My 3 and 2 year old download their own games.Easy to set up and get working. Thanks to parental Control, I know what they are downloading",7,219
1586,1.0,"Can't really give a full review since the Kindle Fire seemed to work properly, however, the security, Webroot Anywhere, that was included was impossible to install. I tried calling Geek Squad 4 times for support and was disconnected EVERY time. I finally went to store for instructions which they printed off but still would not download. I've ended up buying an iPad which is fantastic and would not buy again from BestBuy.",8,2312
1587,2.0,"My 2 yr old loves it!!! We got it in pink. Love that you can put restrictions on it, as well as a timer so that theyre not on it too long. The games and books are awesome",2,3437
1588,2.0,"I got this for my mother as a gift. She absolutely loves it. She was wanting a small, cheap tablet and this fit her needs.",8,532
1589,2.0,"Gave it to my grandkids (ages 3, 4 & 9) for Christmas and they loved it.",8,2405
1590,1.0,Bought this as a gift for my daughter and it was a good buyShock proof and great educational apps for kids in it,2,2567
1591,2.0,My daughter loved it . Best gift for the price it comes with way more then I could have expected,2,1479
1592,1.0,No instructions on adding the memory card and how to move things to the card vs on internally.,2,2021
1593,2.0,My son loves it. Light weight. Good price for a great product. I would purchase another one.,2,2272
1595,2.0,This is my 2yr. olds and he loves it. He loves the different games and watching reviews.,7,2930
1597,2.0,Love the safety features for parents to protect their little ones from some content on the Internet. Love preloaded programs,2,3723
1598,2.0,I recommend it for kids .great for find games easily.,2,2950
1599,1.5,Decent somewhat slow. Netflix freezes up at times.,8,665
1600,1.0,Great tablet for destructive toddlers. My son has dropped and thrown it several times and it still works!...,2,679
1602,2.0,"bought this kindle for my grandson, he loves it and it very easy to use",8,432
1603,2.0,"Kindle products are fantastic. I've used a kindle & now have a Kindle fire. Use it everyday, so naturally, I would select a Kindle for my granddaughter.",2,1892
1604,2.0,My son just love playing games on this tablet. Its easy and fun!,8,2015
1605,2.0,"I highly recommend this tablet for a toddler. There are plenty of learning activities that engage little minds. The case that comes with it is sturdy, my toddler drops/throws this tablet and it's not damaged at all.",2,2139
1606,2.0,I highly recommend this product for children with special needs,7,3636
1607,2.0,Kid proof and works well!! There are plenty of apps too!,2,2882
1608,2.0,"So we gave it to my 1yr old for christmas, on the box it says if you break any way theyll replace, 30sec after opening he throws it down and jumps on .... works great lol loves watching spongbob on lol",2,2668
1610,2.0,My daughter loves it. So easy to set up. And keeps everything age appropriate.,2,1418
1612,2.0,purchased for my grandson. He loves it. When setting up be sure to update the software,2,2645
1613,2.0,This tablet is great for kids. I bought it for my Grandson and he is delighted with it. He uses it constantly.,2,246
1615,1.0,"Quite light, easy to conceal, easy to use and quite quick.",8,2326
1616,2.0,My granddaughter loved it. She used it for her school work.,8,2038
1617,1.5,There's not much difference in the regular Kindle. Wait till it goes on sale.,2,536
1618,2.0,I love this tablet. I got one for each one of the kids all different ages and they all love it.,2,1492
1619,1.0,I love this tablet. I purchased them for gift and am so glad I did!,5,3510
1620,2.0,"Great tablet for my 4 and 8 year old.... kid friendly, safe, and mom and dad enjoy it as well! Love that it comes in a protective case. Reasonably priced for a great tablet the kids love!",2,2356
1622,1.0,Our 3rd Amazon fire. The battery life is outstanding. Really nice when reading a book not having to worry about the battery. Nice size.,8,3015
1623,2.0,"Aiden's is loving his tablet, using educational apps learning his letters and numbers",2,950
1624,1.0,You can't do better for$60. My only concerns is the battery life could be a bit better and it has a cheap plastic feel to it. Great for light browsing and Kindle reading though.,8,1825
1625,2.0,"We got this for our nephew and he absolutely loves it, very easy for him to use too.",7,3338
1627,1.0,Great tablet and kid case. I just wish it came with kids apps.,2,3746
1628,1.0,"My daughter loves that it is pink and she enjoys watching videos/playing on the tablet, which is what really matters. Sufficient and cheaper alternative to the more expensive tablet alternatives.",7,1357
1631,2.0,Easy to use. A useful source for kids activity while on the road load up movies books and games! Cheap product but great use good education for ur kids too,8,999
1632,2.0,My niece and nephew are going to love this! I got it for a great price too. What a nice Christmas present,2,761
1634,2.0,My child loves her tablet and I love it. It keeps her busy with learning games and books,7,3159
1635,2.0,"I love my Amazon Fire tablet, I bought this all the while knowing that people had negative reviews... But honestly I don't know what they did to theirs because mines doesn't have any issues... I've had mines for over a month and still working perfectly like I just bought it yesterday...",8,3721
1636,2.0,It's simple and not difficult for young children to learn. Also is build sturdy in case it does get dropped more than a few times.,2,3206
1637,2.0,good tablet for the price its quick and easy to use,8,3807
1638,1.0,she loves it she is 6yrs old and it fits her level well and she just loves it,2,3247
1639,1.0,"This is great if you have two kids and want to give them a tablet to play with. My problem is that my child is dyslexic and this is the lowest level reader that currently supports audible.com... that is the hardware supports audible. In order for my child to use audible I had to disable all of the family features and try to turn it into a reader... I was sad because there are lots of great family features that I had to disable.I did not use geek squad, I reached out directly to kindle support. Pre-sales, they could not tell me the difference between the free and paid family packages. I had to get to a senior person to help me figure be out why audible did not work and the to disable the family features ... even then, I could not disable the Alexa app. My child has full access to Alexa and the rights to turn on shopping.... kind of scary.So my disappointment is that Amazon does not make a kid friendly kindle that we can have audible.com on for my child's learning disability.",2,2276
