reviewId,itemId,userId,rating,sentiment_score_norm
941,2,3266,5,3.5
942,2,3665,5,4
943,2,2944,5,4
944,2,2232,5,3.5
765,23,3157,5,5
489,23,3797,4,3.5
1360,20,2563,5,4.5
379,23,977,5,4
1371,20,3750,5,4
634,23,3785,4,4.5
793,23,3019,4,4
1479,20,2414,5,3.5
743,23,13,5,4
270,23,3516,5,3
507,23,243,3,2.5
3026,11,1589,3,3.5
882,23,452,5,4.5
3180,11,3748,5,4
3010,11,2230,5,4
172,23,737,4,4
1108,20,824,4,3.5
252,23,1860,3,3.5
1269,20,3480,5,3.5
754,23,3771,5,4
123,23,2489,4,4.5
1274,20,791,5,5
521,23,3039,3,3
1165,20,3680,5,3.5
1352,20,2370,5,4
929,23,1735,5,4
1515,20,1297,5,3
1081,20,3165,4,3.5
1389,20,2616,4,5
1036,20,3315,4,4
3003,11,513,5,5
1244,20,3608,5,4
849,23,1760,5,4.5
1083,20,3199,5,4
922,23,3522,5,4
321,23,1022,5,4.5
408,23,1829,5,4
604,23,1689,5,4.5
1421,20,278,5,4
991,20,2476,4,4
983,20,356,5,5
631,23,2600,3,3.5
531,23,2218,5,3.5
1268,20,771,5,4
658,23,1797,4,4
841,23,1303,5,3.5
623,23,1160,5,4
1218,20,3249,5,4.5
323,23,701,5,4.5
866,23,3346,3,4
288,23,118,5,5
1216,20,579,5,3.5
1519,20,2723,4,4.5
615,23,2539,5,4.5
1177,20,1414,4,5
608,23,2817,5,3.5
701,23,68,5,4.5
232,23,2095,5,5
930,23,785,5,5
1370,20,1479,5,4
3035,11,1556,5,4.5
713,23,3769,5,4
498,23,75,5,5
1279,20,629,5,4
610,23,2166,4,4
899,23,2373,5,4
585,23,1153,5,4
485,23,30,5,4.5
1483,20,2035,5,4
482,23,2370,5,4
1148,20,1378,5,4
451,23,2024,5,5
3200,11,3696,5,4
730,23,2638,5,3.5
1495,20,2087,5,4.5
3130,11,3468,5,3.5
684,23,2645,5,5
351,23,3411,5,3.5
456,23,3104,5,3.5
142,23,3390,5,3.5
881,23,90,5,5
1451,20,2552,5,3.5
1112,20,3737,4,4.5
908,23,3519,5,4
3146,11,2197,4,5
346,23,2155,5,4
